pvt_bundle,r1_scale,r1_ohm,c1_f,c2_f,fref_hz,n_div,trim_code,icp_a,fc_hz,pm_deg,fc_ceiling_hz,meets_both
fast,5,3.475233e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,40u,4.000169e-05,2.179619e+06,36.254,2.500000e+06,no
fast,5,3.475233e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,80u,8.001717e-05,3.464463e+06,47.896,2.500000e+06,no
fast,10,6.950466e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,2.5u,2.500226e-06,4.965645e+05,18.966,2.500000e+06,no
fast,10,6.950466e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,5u,5.000306e-06,7.245564e+05,26.439,2.500000e+06,no
fast,10,6.950466e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,10u,1.000046e-05,1.089813e+06,36.254,2.500000e+06,no
fast,10,6.950466e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,20u,2.000076e-05,1.732016e+06,47.893,2.500000e+06,yes
fast,10,6.950466e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,40u,4.000169e-05,2.982313e+06,58.561,2.500000e+06,no
fast,10,6.950466e+04,1.691196e-12,1.001529e-13,2.500000e+07,58,80u,8.001717e-05,5.496839e+06,63.374,2.500000e+06,no
fast,20,1.390093e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,2.5u,2.500226e-06,5.449208e+05,36.255,2.500000e+06,no
fast,20,1.390093e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,5u,5.000306e-06,8.660232e+05,47.893,2.500000e+06,yes
fast,20,1.390093e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,10u,1.000046e-05,1.491164e+06,58.561,2.500000e+06,yes
fast,20,1.390093e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,20u,2.000076e-05,2.747981e+06,63.374,2.500000e+06,no
fast,20,1.390093e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,40u,4.000169e-05,5.089112e+06,59.626,2.500000e+06,no
fast,20,1.390093e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,80u,8.001717e-05,8.859680e+06,49.438,2.500000e+06,no
fast,50,3.475233e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,2.5u,2.500226e-06,8.801963e+05,62.599,2.500000e+06,yes
fast,50,3.475233e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,5u,5.000306e-06,1.641479e+06,61.910,2.500000e+06,yes
fast,50,3.475233e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,10u,1.000046e-05,2.936864e+06,53.501,2.500000e+06,no
fast,50,3.475233e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,20u,2.000076e-05,4.843995e+06,41.797,2.500000e+06,no
fast,50,3.475233e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,40u,4.000169e-05,7.456780e+06,30.926,2.500000e+06,no
fast,50,3.475233e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,80u,8.001717e-05,1.101687e+07,22.325,2.500000e+06,no
fast,100,6.950466e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,2.5u,2.500226e-06,1.468483e+06,53.500,2.500000e+06,yes
fast,100,6.950466e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,5u,5.000306e-06,2.422030e+06,41.797,2.500000e+06,no
fast,100,6.950466e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,10u,1.000046e-05,3.728401e+06,30.926,2.500000e+06,no
fast,100,6.950466e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,20u,2.000076e-05,5.507912e+06,22.326,2.500000e+06,no
fast,100,6.950466e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,40u,4.000169e-05,7.962563e+06,15.943,2.500000e+06,no
fast,100,6.950466e+05,1.691196e-12,1.001529e-13,2.500000e+07,58,80u,8.001717e-05,1.138653e+07,11.326,2.500000e+06,no
