pvt_bundle,band_code,kvco_interval,mom_frac,r1_ohm,c1_f,c2_f,trim_code,icp_a,fc_hz,pm_deg
slow,11,top,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,20u,2.000171e-05,1.423630e+06,5.703
slow,11,top,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,40u,4.001697e-05,2.019258e+06,8.057
slow,11,top,-0.20,8.745585e+03,1.352957e-12,8.012232e-14,80u,8.015178e-05,2.873725e+06,11.376
slow,11,top,0.00,8.745585e+03,1.691196e-12,1.001529e-13,2.5u,2.500449e-06,4.491591e+05,2.257
slow,11,top,0.00,8.745585e+03,1.691196e-12,1.001529e-13,5u,5.000514e-06,6.354580e+05,3.191
slow,11,top,0.00,8.745585e+03,1.691196e-12,1.001529e-13,10u,1.000072e-05,8.994395e+05,4.510
slow,11,top,0.00,8.745585e+03,1.691196e-12,1.001529e-13,20u,2.000171e-05,1.274217e+06,6.374
slow,11,top,0.00,8.745585e+03,1.691196e-12,1.001529e-13,40u,4.001697e-05,1.808590e+06,9.003
slow,11,top,0.00,8.745585e+03,1.691196e-12,1.001529e-13,80u,8.015178e-05,2.577492e+06,12.703
slow,11,top,0.20,8.745585e+03,2.029435e-12,1.201835e-13,2.5u,2.500449e-06,4.100598e+05,2.472
slow,11,top,0.20,8.745585e+03,2.029435e-12,1.201835e-13,5u,5.000514e-06,5.801919e+05,3.495
slow,11,top,0.20,8.745585e+03,2.029435e-12,1.201835e-13,10u,1.000072e-05,8.213572e+05,4.940
slow,11,top,0.20,8.745585e+03,2.029435e-12,1.201835e-13,20u,2.000171e-05,1.164003e+06,6.980
slow,11,top,0.20,8.745585e+03,2.029435e-12,1.201835e-13,40u,4.001697e-05,1.653302e+06,9.856
slow,11,top,0.20,8.745585e+03,2.029435e-12,1.201835e-13,80u,8.015178e-05,2.359466e+06,13.899
fast,11,top,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,2.5u,2.500226e-06,5.381259e+05,1.719
fast,11,top,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,5u,5.000306e-06,7.612055e+05,2.431
fast,11,top,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,10u,1.000046e-05,1.077041e+06,3.437
fast,11,top,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,20u,2.000076e-05,1.524695e+06,4.859
fast,11,top,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,40u,4.000169e-05,2.160597e+06,6.866
fast,11,top,-0.20,6.950466e+03,1.352957e-12,8.012232e-14,80u,8.001717e-05,3.068148e+06,9.695
fast,11,top,0.00,6.950466e+03,1.691196e-12,1.001529e-13,2.5u,2.500226e-06,4.813448e+05,1.922
fast,11,top,0.00,6.950466e+03,1.691196e-12,1.001529e-13,5u,5.000306e-06,6.809287e+05,2.718
fast,11,top,0.00,6.950466e+03,1.691196e-12,1.001529e-13,10u,1.000046e-05,9.635776e+05,3.843
fast,11,top,0.00,6.950466e+03,1.691196e-12,1.001529e-13,20u,2.000076e-05,1.364416e+06,5.432
fast,11,top,0.00,6.950466e+03,1.691196e-12,1.001529e-13,40u,4.000169e-05,1.934444e+06,7.673
fast,11,top,0.00,6.950466e+03,1.691196e-12,1.001529e-13,80u,8.001717e-05,2.749767e+06,10.829
fast,11,top,0.20,6.950466e+03,2.029435e-12,1.201835e-13,2.5u,2.500226e-06,4.394333e+05,2.106
fast,11,top,0.20,6.950466e+03,2.029435e-12,1.201835e-13,5u,5.000306e-06,6.216783e+05,2.977
fast,11,top,0.20,6.950466e+03,2.029435e-12,1.201835e-13,10u,1.000046e-05,8.798436e+05,4.209
fast,11,top,0.20,6.950466e+03,2.029435e-12,1.201835e-13,20u,2.000076e-05,1.246163e+06,5.949
fast,11,top,0.20,6.950466e+03,2.029435e-12,1.201835e-13,40u,4.000169e-05,1.767677e+06,8.402
fast,11,top,0.20,6.950466e+03,2.029435e-12,1.201835e-13,80u,8.001717e-05,2.515242e+06,11.853
