variant,pdk,mos_corner,temp_c,vsup_v,vth_rising_v,vth_falling_v,hysteresis_v,hysteresis_pct_of_vdd,i_peak_rise_a,v_at_i_peak_rise_v,i_peak_fall_a,v_at_i_peak_fall_v,i_midband_rise_a,i_midband_fall_a,i_worst_a,i_rail_lo_a,i_rail_hi_a
asdrawn,ihp-sg13cmos5l,mos_ff,-40,3.63,2.226598e+00,1.221509e+00,1.005089e+00,27.6884,6.406087e-04,2.2239,4.968447e-04,1.2333,4.063749e-04,3.211964e-04,6.406087e-04,9.318878e-12,1.258020e-06
asdrawn,ihp-sg13cmos5l,mos_ff,27,2.97,1.865676e+00,1.029065e+00,8.366110e-01,28.1687,3.607295e-04,1.8596,2.629527e-04,1.0388,2.091944e-04,1.537407e-04,3.607295e-04,8.241141e-12,2.295592e-06
asdrawn,ihp-sg13cmos5l,mos_ff,27,3.3,2.053890e+00,1.144144e+00,9.097460e-01,27.5681,4.469728e-04,2.0481,3.397650e-04,1.1558,2.737099e-04,2.117036e-04,4.469728e-04,1.495034e-11,1.094579e-06
asdrawn,ihp-sg13cmos5l,mos_ff,27,3.63,2.244506e+00,1.259625e+00,9.848810e-01,27.1317,5.364630e-04,2.2366,4.238639e-04,1.2732,3.425842e-04,2.769572e-04,5.364630e-04,2.556055e-11,1.237908e-06
asdrawn,ihp-sg13cmos5l,mos_ff,125,2.97,1.873750e+00,1.069364e+00,8.043860e-01,27.0837,2.724217e-04,1.8656,2.178768e-04,1.0803,1.655585e-04,1.358868e-04,2.724217e-04,5.331620e-10,8.853919e-07
asdrawn,ihp-sg13cmos5l,mos_ff,125,3.3,2.068720e+00,1.189625e+00,8.790950e-01,26.6392,3.421047e-04,2.0597,2.786917e-04,1.2020,2.170933e-04,1.811371e-04,3.421047e-04,5.793460e-10,1.587596e-06
asdrawn,ihp-sg13cmos5l,mos_ff,125,3.63,2.261089e+00,1.306750e+00,9.543390e-01,26.2903,4.158422e-04,2.2511,3.454360e-04,1.3222,2.727597e-04,2.331332e-04,4.158422e-04,6.375216e-10,9.157088e-07
asdrawn,ihp-sg13cmos5l,mos_sf,-40,2.97,1.891577e+00,1.021629e+00,8.699480e-01,29.2912,3.683181e-04,1.8893,2.776090e-04,1.0284,2.014301e-04,1.477731e-04,3.683181e-04,3.132120e-13,1.179966e-06
asdrawn,ihp-sg13cmos5l,mos_sf,-40,3.3,2.078036e+00,1.133138e+00,9.448980e-01,28.6333,4.517164e-04,2.0745,3.627970e-04,1.1426,2.647814e-04,2.113383e-04,4.517164e-04,8.184820e-13,1.713634e-06
asdrawn,ihp-sg13cmos5l,mos_sf,-40,3.63,2.264480e+00,1.245088e+00,1.019392e+00,28.0824,5.369454e-04,2.2602,4.555341e-04,1.2551,3.315060e-04,2.843408e-04,5.369454e-04,1.855315e-12,1.281742e-06
asdrawn,ihp-sg13cmos5l,mos_sf,27,2.97,1.900505e+00,1.049851e+00,8.506540e-01,28.6415,3.019590e-04,1.8953,2.404327e-04,1.0566,1.671187e-04,1.328996e-04,3.019590e-04,2.047518e-12,2.257284e-06
asdrawn,ihp-sg13cmos5l,mos_sf,27,3.3,2.089983e+00,1.164885e+00,9.250980e-01,28.0333,3.763436e-04,2.0844,3.120849e-04,1.1740,2.222792e-04,1.865006e-04,3.763436e-04,4.042160e-12,1.134463e-06
asdrawn,ihp-sg13cmos5l,mos_sf,27,3.63,2.279240e+00,1.279815e+00,9.994250e-01,27.5324,4.533363e-04,2.2747,3.903723e-04,1.2932,2.809841e-04,2.473470e-04,4.533363e-04,7.597012e-12,1.087899e-06
asdrawn,ihp-sg13cmos5l,mos_sf,125,2.97,1.908787e+00,1.086984e+00,8.218030e-01,27.6701,2.305005e-04,1.9012,2.005589e-04,1.0967,1.338428e-04,1.193959e-04,2.305005e-04,2.783041e-10,1.666490e-06
asdrawn,ihp-sg13cmos5l,mos_sf,125,3.3,2.103441e+00,1.207759e+00,8.956820e-01,27.1419,2.912509e-04,2.0943,2.575047e-04,1.2185,1.785723e-04,1.614842e-04,2.912509e-04,3.007882e-10,1.726473e-06
asdrawn,ihp-sg13cmos5l,mos_sf,125,3.63,2.297394e+00,1.326744e+00,9.706500e-01,26.7397,3.553802e-04,2.2892,3.198838e-04,1.3404,2.268896e-04,2.092471e-04,3.553802e-04,3.303746e-10,8.996395e-07
asdrawn,ihp-sg13cmos5l,mos_fs,-40,2.97,1.855748e+00,9.683743e-01,8.873737e-01,29.8779,4.130534e-04,1.8522,2.485313e-04,0.9764,2.252414e-04,1.331894e-04,4.130534e-04,8.593386e-15,1.395243e-06
asdrawn,ihp-sg13cmos5l,mos_fs,-40,3.3,2.039374e+00,1.073182e+00,9.661920e-01,29.2785,5.047721e-04,2.0349,3.239834e-04,1.0832,2.930341e-04,1.921323e-04,5.047721e-04,1.565631e-14,5.852518e-06
asdrawn,ihp-sg13cmos5l,mos_fs,-40,3.63,2.223008e+00,1.178652e+00,1.044356e+00,28.7701,5.983025e-04,2.2184,4.051036e-04,1.1915,3.645469e-04,2.585370e-04,5.983025e-04,3.584025e-14,1.446269e-06
asdrawn,ihp-sg13cmos5l,mos_fs,27,2.97,1.861689e+00,9.963990e-01,8.652900e-01,29.1343,3.358149e-04,1.8567,2.162737e-04,1.0046,1.847457e-04,1.208602e-04,3.358149e-04,3.300518e-13,1.251873e-06
asdrawn,ihp-sg13cmos5l,mos_fs,27,3.3,2.048940e+00,1.107123e+00,9.418170e-01,28.5399,4.171607e-04,2.0432,2.801645e-04,1.1179,2.439599e-04,1.704291e-04,4.171607e-04,4.346583e-13,1.274341e-06
asdrawn,ihp-sg13cmos5l,mos_fs,27,3.63,2.235677e+00,1.215008e+00,1.020669e+00,28.1176,5.012926e-04,2.2293,3.492082e-04,1.2297,3.065070e-04,2.266260e-04,5.012926e-04,6.529558e-13,1.284771e-06
asdrawn,ihp-sg13cmos5l,mos_fs,125,2.97,1.866336e+00,1.034995e+00,8.313410e-01,27.9913,2.536006e-04,1.8596,1.817060e-04,1.0462,1.465450e-04,1.096954e-04,2.536006e-04,1.698907e-10,1.041935e-06
asdrawn,ihp-sg13cmos5l,mos_fs,125,3.3,2.057214e+00,1.148284e+00,9.089300e-01,27.5433,3.194404e-04,2.0514,2.329299e-04,1.1624,1.932079e-04,1.492468e-04,3.194404e-04,1.823413e-10,9.788336e-07
asdrawn,ihp-sg13cmos5l,mos_fs,125,3.63,2.250197e+00,1.262167e+00,9.880300e-01,27.2185,3.889367e-04,2.2420,2.885217e-04,1.2787,2.446672e-04,1.933712e-04,3.889367e-04,1.976849e-10,1.094952e-06
long2u,ihp-sg13cmos5l,mos_tt,-40,2.97,1.889614e+00,1.010454e+00,8.791600e-01,29.6013,1.020721e-04,1.8775,6.106468e-05,1.0298,4.287682e-05,2.912379e-05,1.020721e-04,4.614711e-14,1.980501e-06
long2u,ihp-sg13cmos5l,mos_tt,-40,3.3,2.078532e+00,1.131263e+00,9.472690e-01,28.7051,1.361940e-04,2.0646,8.052492e-05,1.1542,6.284567e-05,4.264423e-05,1.361940e-04,1.360689e-13,2.479378e-06
long2u,ihp-sg13cmos5l,mos_tt,-40,3.63,2.266610e+00,1.247845e+00,1.018765e+00,28.0652,1.737036e-04,2.2511,1.020916e-04,1.2750,8.636919e-05,5.844885e-05,1.737036e-04,3.535245e-13,3.003829e-06
long2u,ihp-sg13cmos5l,mos_tt,27,2.97,1.887103e+00,1.016096e+00,8.710070e-01,29.3268,7.864887e-05,1.8715,5.160756e-05,1.0402,3.669146e-05,2.623818e-05,7.864887e-05,3.976759e-13,1.424242e-06
long2u,ihp-sg13cmos5l,mos_tt,27,3.3,2.078359e+00,1.136573e+00,9.417860e-01,28.5390,1.033197e-04,2.0597,6.764695e-05,1.1641,5.209370e-05,3.734916e-05,1.033197e-04,9.472107e-13,2.387236e-06
long2u,ihp-sg13cmos5l,mos_tt,27,3.63,2.269014e+00,1.254576e+00,1.014438e+00,27.9460,1.303688e-04,2.2475,8.542695e-05,1.2859,6.969422e-05,5.038778e-05,1.303688e-04,2.059088e-12,1.241248e-06
long2u,ihp-sg13cmos5l,mos_tt,125,2.97,1.882687e+00,1.032672e+00,8.500150e-01,28.6200,5.657962e-05,1.8596,4.194991e-05,1.0640,3.014591e-05,2.371027e-05,5.657962e-05,6.998579e-11,4.089680e-07
long2u,ihp-sg13cmos5l,mos_tt,125,3.3,2.077112e+00,1.153647e+00,9.234650e-01,27.9838,7.316615e-05,2.0514,5.429407e-05,1.1888,4.116269e-05,3.238282e-05,7.316615e-05,7.986944e-11,3.181839e-07
long2u,ihp-sg13cmos5l,mos_tt,125,3.63,2.271141e+00,1.273477e+00,9.976640e-01,27.4839,9.135642e-05,2.2420,6.797151e-05,1.3132,5.355439e-05,4.243200e-05,9.135642e-05,9.381845e-11,1.133108e-06
long2u,ihp-sg13cmos5l,mos_ss,-40,2.97,1.900754e+00,1.001572e+00,8.991820e-01,30.2755,9.036418e-05,1.8893,5.463887e-05,1.0209,3.578305e-05,2.428596e-05,9.036418e-05,7.075070e-15,6.594409e-07
long2u,ihp-sg13cmos5l,mos_ss,-40,3.3,2.089814e+00,1.124664e+00,9.651500e-01,29.2470,1.212821e-04,2.0762,7.253542e-05,1.1476,5.365460e-05,3.633871e-05,1.212821e-04,9.397648e-15,2.119585e-06
long2u,ihp-sg13cmos5l,mos_ss,-40,3.63,2.277777e+00,1.243132e+00,1.034645e+00,28.5026,1.552542e-04,2.2620,9.239457e-05,1.2696,7.471250e-05,5.083023e-05,1.552542e-04,1.401906e-14,1.024324e-06
long2u,ihp-sg13cmos5l,mos_ss,27,2.97,1.897966e+00,1.007934e+00,8.900320e-01,29.9674,7.016312e-05,1.8819,4.634257e-05,1.0313,3.112482e-05,2.218486e-05,7.016312e-05,4.461149e-14,9.848744e-07
long2u,ihp-sg13cmos5l,mos_ss,27,3.3,2.089133e+00,1.129767e+00,9.593660e-01,29.0717,9.264534e-05,2.0712,6.114553e-05,1.1558,4.490139e-05,3.222727e-05,9.264534e-05,6.392474e-14,1.461785e-06
long2u,ihp-sg13cmos5l,mos_ss,27,3.63,2.279664e+00,1.248824e+00,1.030840e+00,28.3978,1.172779e-04,2.2602,7.756798e-05,1.2805,6.094785e-05,4.397946e-05,1.172779e-04,1.062791e-13,8.792868e-07
long2u,ihp-sg13cmos5l,mos_ss,125,2.97,1.892609e+00,1.025129e+00,8.674800e-01,29.2081,5.087427e-05,1.8700,3.790903e-05,1.0551,2.606524e-05,2.043960e-05,5.087427e-05,4.464306e-11,1.170526e-06
long2u,ihp-sg13cmos5l,mos_ss,125,3.3,2.087118e+00,1.146623e+00,9.404950e-01,28.4998,6.606887e-05,2.0613,4.934366e-05,1.1806,3.602121e-05,2.840809e-05,6.606887e-05,4.812045e-11,5.388015e-07
long2u,ihp-sg13cmos5l,mos_ss,125,3.63,2.281181e+00,1.266920e+00,1.014261e+00,27.9411,8.272520e-05,2.2529,6.201749e-05,1.3059,4.727112e-05,3.752354e-05,8.272520e-05,5.247457e-11,2.207955e-07
long2u,ihp-sg13cmos5l,mos_ff,-40,2.97,1.877048e+00,1.016764e+00,8.602840e-01,28.9658,1.157846e-04,1.8656,6.791228e-05,1.0373,5.133214e-05,3.460845e-05,1.157846e-04,2.193656e-12,1.589824e-07
long2u,ihp-sg13cmos5l,mos_ff,-40,3.3,2.066094e+00,1.135083e+00,9.310110e-01,28.2125,1.536472e-04,2.0531,8.890600e-05,1.1591,7.391266e-05,4.953633e-05,1.536472e-04,4.786841e-12,6.945725e-07
long2u,ihp-sg13cmos5l,mos_ff,-40,3.63,2.253900e+00,1.249452e+00,1.004448e+00,27.6707,1.953574e-04,2.2384,1.121097e-04,1.2787,9.997004e-05,6.699874e-05,1.953574e-04,9.315732e-12,3.353707e-06
long2u,ihp-sg13cmos5l,mos_ff,27,2.97,1.875188e+00,1.022017e+00,8.531710e-01,28.7263,8.858027e-05,1.8596,5.723375e-05,1.0462,4.326285e-05,3.082694e-05,8.858027e-05,7.130361e-12,1.603396e-06
long2u,ihp-sg13cmos5l,mos_ff,27,3.3,2.066392e+00,1.140795e+00,9.255970e-01,28.0484,1.158381e-04,2.0481,7.450498e-05,1.1690,6.051018e-05,4.318846e-05,1.158381e-04,1.375945e-11,1.878417e-06
long2u,ihp-sg13cmos5l,mos_ff,27,3.63,2.256760e+00,1.257429e+00,9.993310e-01,27.5298,1.457682e-04,2.2366,9.361538e-05,1.2914,8.010381e-05,5.730707e-05,1.457682e-04,2.427720e-11,1.613611e-06
long2u,ihp-sg13cmos5l,mos_ff,125,2.97,1.871460e+00,1.038318e+00,8.331420e-01,28.0519,6.326230e-05,1.8478,4.628121e-05,1.0699,3.492886e-05,2.739045e-05,6.326230e-05,1.403321e-10,1.085676e-06
long2u,ihp-sg13cmos5l,mos_ff,125,3.3,2.065548e+00,1.158378e+00,9.071700e-01,27.4900,8.150494e-05,2.0399,5.954241e-05,1.1938,4.715724e-05,3.699292e-05,8.150494e-05,1.683680e-10,2.860868e-07
long2u,ihp-sg13cmos5l,mos_ff,125,3.63,2.259160e+00,1.277362e+00,9.817980e-01,27.0468,1.015317e-04,2.2293,7.421485e-05,1.3186,6.085948e-05,4.784497e-05,1.015317e-04,2.061092e-10,3.726450e-07
long2u,ihp-sg13cmos5l,mos_sf,-40,2.97,1.905002e+00,1.029829e+00,8.751730e-01,29.4671,9.726055e-05,1.8923,6.339246e-05,1.0492,4.105637e-05,3.037301e-05,9.726055e-05,3.125227e-13,1.874226e-06
long2u,ihp-sg13cmos5l,mos_sf,-40,3.3,2.094870e+00,1.152630e+00,9.422400e-01,28.5527,1.299528e-04,2.0811,8.335094e-05,1.1756,6.050571e-05,4.415624e-05,1.299528e-04,8.176834e-13,2.126657e-06
long2u,ihp-sg13cmos5l,mos_sf,-40,3.63,2.283906e+00,1.271342e+00,1.012564e+00,27.8943,1.658349e-04,2.2674,1.054711e-04,1.2986,8.316453e-05,6.040763e-05,1.658349e-04,1.854410e-12,9.928180e-07
long2u,ihp-sg13cmos5l,mos_sf,27,2.97,1.903068e+00,1.035726e+00,8.673420e-01,29.2034,7.515728e-05,1.8864,5.351909e-05,1.0595,3.525039e-05,2.729374e-05,7.515728e-05,1.649164e-12,2.171433e-06
long2u,ihp-sg13cmos5l,mos_sf,27,3.3,2.095056e+00,1.158135e+00,9.369210e-01,28.3915,9.885500e-05,2.0762,6.997834e-05,1.1839,5.028088e-05,3.873005e-05,9.885500e-05,3.627123e-12,1.876520e-06
long2u,ihp-sg13cmos5l,mos_sf,27,3.63,2.286585e+00,1.278102e+00,1.008483e+00,27.7819,1.248108e-04,2.2656,8.822080e-05,1.3095,6.747410e-05,5.187083e-05,1.248108e-04,7.163146e-12,9.420633e-07
