variant,pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,period_s,freq_hz
cscale25,typ,mos_tt,res_typ,27,11,0.3,2.527300e-09,395679183.3181656
cscale25,typ,mos_tt,res_typ,27,11,0.9,2.218032e-09,450850122.99191356
cscale25,typ,mos_tt,res_typ,27,11,1.5,1.467488e-09,681436577.3348743
cscale25,typ,mos_tt,res_typ,27,11,2.1,1.098947e-09,909961990.8876406
cscale25,typ,mos_tt,res_typ,27,11,2.7,9.438495e-10,1059490946.3849903
full,fast,mos_ff,res_bcs,-40,00,0.3,3.433885e-09,291215343.5540212
full,fast,mos_ff,res_bcs,-40,00,0.9,3.182784e-09,314190344.05099434
full,fast,mos_ff,res_bcs,-40,00,1.5,2.602631e-09,384226576.87547714
full,fast,mos_ff,res_bcs,-40,00,2.1,2.173625e-09,460060958.0769452
full,fast,mos_ff,res_bcs,-40,00,2.7,1.884224e-09,530722461.87289834
full,fast,mos_ff,res_bcs,-40,11,0.3,3.433885e-09,291215343.5540212
full,fast,mos_ff,res_bcs,-40,11,0.9,2.998505e-09,333499527.2644201
full,fast,mos_ff,res_bcs,-40,11,1.5,1.962561e-09,509538302.2489492
full,fast,mos_ff,res_bcs,-40,11,2.1,1.472061e-09,679319674.9319491
full,fast,mos_ff,res_bcs,-40,11,2.7,1.266629e-09,789497161.3629563
full,slow,mos_ss,res_wcs,125,00,0.3,4.470740e-09,223676617.29378134
full,slow,mos_ss,res_wcs,125,00,0.9,4.133391e-09,241932108.52784067
full,slow,mos_ss,res_wcs,125,00,1.5,3.447630e-09,290054327.17547995
full,slow,mos_ss,res_wcs,125,00,2.1,2.930904e-09,341191659.6381185
full,slow,mos_ss,res_wcs,125,00,2.7,2.590875e-09,385969990.8332127
full,slow,mos_ss,res_wcs,125,11,0.3,4.470740e-09,223676617.29378134
full,slow,mos_ss,res_wcs,125,11,0.9,3.916237e-09,255347161.06303063
full,slow,mos_ss,res_wcs,125,11,1.5,2.755776e-09,362874195.87078196
