corner_tag,committed_twin_r_s,this_host_twin_r_s,delta_twin_r_s,delta_pct,byte_identical
mos_ss_res_wcs_27c_3.3v_24p4MHz_ideal0.20,9.52566e-09,9.52566e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_125c_3.3v_24p4MHz_real,9.42309e-09,9.42309e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_125c_3.3v_24p4MHz_ideal-0.20,7.60269e-09,7.60269e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_125c_3.3v_24p4MHz_ideal0.00,9.42198e-09,9.42198e-09,0.000000e+00,0.0000,yes
mos_ss_res_wcs_125c_3.3v_24p4MHz_ideal0.20,1.12413e-08,1.12413e-08,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.3v_24p4MHz_real,5.00714e-09,5.00714e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.3v_24p4MHz_ideal-0.20,4.04319e-09,4.04319e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.3v_24p4MHz_ideal0.00,5.00599e-09,5.00599e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.3v_24p4MHz_ideal0.20,5.96879e-09,5.96879e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_27c_3.3v_24p4MHz_real,5.73562e-09,5.73562e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_27c_3.3v_24p4MHz_ideal-0.20,4.63110e-09,4.63110e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_27c_3.3v_24p4MHz_ideal0.00,5.73342e-09,5.73342e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_27c_3.3v_24p4MHz_ideal0.20,6.83573e-09,6.83573e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_125c_3.3v_24p4MHz_real,6.90808e-09,6.90808e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_125c_3.3v_24p4MHz_ideal-0.20,5.58155e-09,5.58155e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_125c_3.3v_24p4MHz_ideal0.00,6.90875e-09,6.90875e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_125c_3.3v_24p4MHz_ideal0.20,8.23594e-09,8.23594e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_-40c_3.3v_24p4MHz_real,5.39618e-09,5.39618e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_-40c_3.3v_24p4MHz_ideal-0.20,4.36177e-09,4.36177e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_-40c_3.3v_24p4MHz_ideal0.00,5.39924e-09,5.39924e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_-40c_3.3v_24p4MHz_ideal0.20,6.43672e-09,6.43672e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_27c_3.3v_24p4MHz_real,6.16772e-09,6.16772e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_27c_3.3v_24p4MHz_ideal-0.20,4.98291e-09,4.98291e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_27c_3.3v_24p4MHz_ideal0.00,6.16764e-09,6.16764e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_27c_3.3v_24p4MHz_ideal0.20,7.35236e-09,7.35236e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_125c_3.3v_24p4MHz_real,7.39763e-09,7.39763e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_125c_3.3v_24p4MHz_ideal-0.20,5.97870e-09,5.97870e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_125c_3.3v_24p4MHz_ideal0.00,7.39877e-09,7.39877e-09,0.000000e+00,0.0000,yes
mos_sf_res_typ_125c_3.3v_24p4MHz_ideal0.20,8.81884e-09,8.81884e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_-40c_3.3v_24p4MHz_real,6.37926e-09,6.37926e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_-40c_3.3v_24p4MHz_ideal-0.20,5.14651e-09,5.14651e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_-40c_3.3v_24p4MHz_ideal0.00,6.38082e-09,6.38082e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_-40c_3.3v_24p4MHz_ideal0.20,7.61513e-09,7.61513e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_27c_3.3v_24p4MHz_real,7.23915e-09,7.23915e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_27c_3.3v_24p4MHz_ideal-0.20,5.84018e-09,5.84018e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_27c_3.3v_24p4MHz_ideal0.00,7.23988e-09,7.23988e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_27c_3.3v_24p4MHz_ideal0.20,8.63958e-09,8.63958e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_125c_3.3v_24p4MHz_real,8.59503e-09,8.59503e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_125c_3.3v_24p4MHz_ideal-0.20,6.93540e-09,6.93540e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_125c_3.3v_24p4MHz_ideal0.00,8.59544e-09,8.59544e-09,0.000000e+00,0.0000,yes
mos_fs_res_typ_125c_3.3v_24p4MHz_ideal0.20,1.02555e-08,1.02555e-08,0.000000e+00,0.0000,yes
mos_tt_res_wcs_-40c_3.3v_24p4MHz_real,5.85546e-09,5.85546e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal-0.20,4.72653e-09,4.72653e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal0.00,5.85573e-09,5.85573e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_-40c_3.3v_24p4MHz_ideal0.20,6.98492e-09,6.98492e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_27c_3.3v_24p4MHz_real,6.66809e-09,6.66809e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_27c_3.3v_24p4MHz_ideal-0.20,5.38353e-09,5.38353e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_27c_3.3v_24p4MHz_ideal0.00,6.66892e-09,6.66892e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_27c_3.3v_24p4MHz_ideal0.20,7.95430e-09,7.95430e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_125c_3.3v_24p4MHz_real,7.95914e-09,7.95914e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_125c_3.3v_24p4MHz_ideal-0.20,6.42724e-09,6.42724e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_125c_3.3v_24p4MHz_ideal0.00,7.96002e-09,7.96002e-09,0.000000e+00,0.0000,yes
mos_tt_res_wcs_125c_3.3v_24p4MHz_ideal0.20,9.49280e-09,9.49280e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_-40c_3.3v_24p4MHz_real,5.85546e-09,5.85546e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_-40c_3.3v_24p4MHz_ideal-0.20,4.72653e-09,4.72653e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_-40c_3.3v_24p4MHz_ideal0.00,5.85573e-09,5.85573e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_-40c_3.3v_24p4MHz_ideal0.20,6.98492e-09,6.98492e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_27c_3.3v_24p4MHz_real,6.66809e-09,6.66809e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_27c_3.3v_24p4MHz_ideal-0.20,5.38353e-09,5.38353e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_27c_3.3v_24p4MHz_ideal0.00,6.66892e-09,6.66892e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_27c_3.3v_24p4MHz_ideal0.20,7.95430e-09,7.95430e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_125c_3.3v_24p4MHz_real,7.95914e-09,7.95914e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal-0.20,6.42724e-09,6.42724e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal0.00,7.96002e-09,7.96002e-09,0.000000e+00,0.0000,yes
mos_tt_res_bcs_125c_3.3v_24p4MHz_ideal0.20,9.49280e-09,9.49280e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_2.97v_24p4MHz_real,6.51591e-09,6.51591e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_2.97v_24p4MHz_ideal-0.20,5.26082e-09,5.26082e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_3.63v_24p4MHz_real,5.36532e-09,5.36532e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_-40c_3.63v_24p4MHz_ideal-0.20,4.32997e-09,4.32997e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_2.97v_24p4MHz_real,7.42505e-09,7.42505e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_2.97v_24p4MHz_ideal-0.20,5.99347e-09,5.99347e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.63v_24p4MHz_real,6.10097e-09,6.10097e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.63v_24p4MHz_ideal-0.20,4.92412e-09,4.92412e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_2.97v_24p4MHz_real,8.84130e-09,8.84130e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_2.97v_24p4MHz_ideal-0.20,7.13986e-09,7.13986e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_3.63v_24p4MHz_real,7.28157e-09,7.28157e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_125c_3.63v_24p4MHz_ideal-0.20,5.88042e-09,5.88042e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.3v_3p5MHz_real,6.66809e-09,6.66809e-09,0.000000e+00,0.0000,yes
mos_tt_res_typ_27c_3.3v_12p0MHz_real,6.66809e-09,6.66809e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.63v_24p4MHz_ideal-0.20,3.68750e-09,3.68750e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.3v_24p4MHz_ideal-0.20,4.04319e-09,4.04319e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.63v_24p4MHz_real,4.56486e-09,4.56486e-09,0.000000e+00,0.0000,yes
mos_ff_res_bcs_-40c_3.3v_24p4MHz_real,5.00714e-09,5.00714e-09,0.000000e+00,0.0000,yes
