pvt_bundle,mos_corner,res_corner,temp_c,band_code,vctrl_v,freq_hz_schematic,freq_hz_postlayout,ratio_post_over_sch,delta_pct
slow,mos_ss,res_wcs,125,01,2.7,1.04697e+09,5.01464e+08,0.478967,-52.103
slow,mos_ss,res_wcs,125,10,0.3,4.4526e+08,2.23677e+08,0.502350,-49.765
slow,mos_ss,res_wcs,125,10,0.9,4.97533e+08,2.48774e+08,0.500014,-49.999
slow,mos_ss,res_wcs,125,10,1.5,6.57567e+08,3.24162e+08,0.492972,-50.703
slow,mos_ss,res_wcs,125,10,2.1,8.24271e+08,4.01251e+08,0.486795,-51.321
slow,mos_ss,res_wcs,125,10,2.7,9.53066e+08,4.59679e+08,0.482316,-51.768
slow,mos_ss,res_wcs,125,11,0.3,4.4526e+08,2.23677e+08,0.502350,-49.765
slow,mos_ss,res_wcs,125,11,0.9,5.1159e+08,2.55347e+08,0.499125,-50.087
slow,mos_ss,res_wcs,125,11,1.5,7.41229e+08,3.62874e+08,0.489558,-51.044
slow,mos_ss,res_wcs,125,11,2.1,9.70121e+08,4.66567e+08,0.480937,-51.906
slow,mos_ss,res_wcs,125,11,2.7,1.11378e+09,5.31105e+08,0.476847,-52.315
typ,mos_tt,res_typ,27,00,0.3,4.93963e+08,2.56408e+08,0.519083,-48.092
typ,mos_tt,res_typ,27,00,0.9,5.33082e+08,2.75704e+08,0.517188,-48.281
typ,mos_tt,res_typ,27,00,1.5,6.54982e+08,3.35415e+08,0.512098,-48.790
typ,mos_tt,res_typ,27,00,2.1,7.87398e+08,4.00023e+08,0.508031,-49.197
typ,mos_tt,res_typ,27,00,2.7,9.10979e+08,4.58981e+08,0.503833,-49.617
typ,mos_tt,res_typ,27,01,0.3,4.93963e+08,2.56408e+08,0.519083,-48.092
typ,mos_tt,res_typ,27,01,0.9,5.57998e+08,2.87909e+08,0.515967,-48.403
typ,mos_tt,res_typ,27,01,1.5,8.10905e+08,4.10657e+08,0.506418,-49.358
typ,mos_tt,res_typ,27,01,2.1,1.07493e+09,5.35114e+08,0.497813,-50.219
typ,mos_tt,res_typ,27,01,2.7,1.26203e+09,6.23954e+08,0.494404,-50.560
typ,mos_tt,res_typ,27,10,0.3,4.93963e+08,2.56408e+08,0.519083,-48.092
typ,mos_tt,res_typ,27,10,0.9,5.48632e+08,2.83401e+08,0.516560,-48.344
typ,mos_tt,res_typ,27,10,1.5,7.47822e+08,3.80293e+08,0.508534,-49.147
typ,mos_tt,res_typ,27,10,2.1,9.59295e+08,4.81669e+08,0.502107,-49.789
typ,mos_tt,res_typ,27,10,2.7,1.13e+09,5.62243e+08,0.497558,-50.244
typ,mos_tt,res_typ,27,11,0.3,4.93963e+08,2.56408e+08,0.519083,-48.092
typ,mos_tt,res_typ,27,11,0.9,5.64064e+08,2.91158e+08,0.516178,-48.382
typ,mos_tt,res_typ,27,11,1.5,8.62037e+08,4.35045e+08,0.504671,-49.533
typ,mos_tt,res_typ,27,11,2.1,1.16194e+09,5.7687e+08,0.496469,-50.353
typ,mos_tt,res_typ,27,11,2.7,1.35911e+09,6.68933e+08,0.492184,-50.782
