corner_tag,tau_xwin,tau_s,state_discharged_start,state_charged_start,lka_min_v,lka_max_v,lka_avg_v,lkb_min_v,lkb_max_v,lkb_avg_v,vwin_a_min_v,vwin_a_max_v,vwin_a_avg_v
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,1.20,4.155648e-10,IN,IN,-7.901140e-02,1.757420e-02,-2.961500e-06,-7.901140e-02,1.757420e-02,-2.961200e-06,2.499300e+00,3.300020e+00,3.272520e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,1.40,4.848256e-10,IN,IN,-1.561120e-01,1.387140e-01,4.362460e-04,-1.561120e-01,1.387140e-01,4.362460e-04,1.241340e+00,3.300030e+00,3.225210e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,1.60,5.540864e-10,TOG,TOG,-1.479570e-01,1.398630e+00,1.561320e-02,-1.479570e-01,1.398630e+00,1.561320e-02,8.803970e-01,3.300030e+00,3.208410e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,1.80,6.233472e-10,TOG,TOG,-1.339010e-01,3.357460e+00,1.093320e-01,-1.339010e-01,3.357460e+00,1.093320e-01,6.381380e-01,3.302130e+00,3.194430e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,2.00,6.926080e-10,TOG,TOG,-1.419470e-01,3.358010e+00,1.264330e-01,-1.419470e-01,3.358010e+00,1.264330e-01,4.968800e-01,3.300750e+00,3.182340e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,2.50,8.657600e-10,TOG,TOG,-1.396880e-01,3.370260e+00,1.522270e-01,-1.396880e-01,3.370260e+00,1.522270e-01,3.730300e-01,3.305070e+00,3.160730e+00
mos_tt_res_typ_cap_typ_125c_3.3v_24p4MHz,10.00,3.463040e-09,TOG,TOG,-1.494610e-01,3.376390e+00,3.665640e-01,-1.494610e-01,3.376390e+00,3.665640e-01,2.282800e-01,3.300020e+00,2.961480e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,0.50,1.419385e-10,IN,IN,-8.805950e-06,6.290010e-06,-2.207430e-07,-8.475910e-06,6.506320e-06,-1.409440e-10,3.299960e+00,3.300020e+00,3.299990e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,1.00,2.838770e-10,IN,IN,-1.068570e-04,9.456650e-05,-2.193890e-07,-1.065830e-04,9.483340e-05,1.221110e-09,3.299740e+00,3.300410e+00,3.299990e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,1.20,3.406524e-10,IN,IN,-6.896570e-02,2.009900e-02,-4.559330e-07,-6.896570e-02,2.009900e-02,-4.557570e-07,2.272330e+00,3.300000e+00,3.237440e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,1.40,3.974278e-10,IN,IN,-9.611580e-02,1.393380e-01,3.401200e-04,-9.611580e-02,1.393380e-01,3.401200e-04,1.184540e+00,3.300000e+00,3.164000e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,1.60,4.542032e-10,TOG,TOG,-1.133520e-01,3.327220e+00,1.673100e-01,-1.133530e-01,3.327220e+00,1.673100e-01,7.196970e-01,3.300010e+00,3.129070e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,1.80,5.109786e-10,TOG,TOG,-1.100320e-01,3.327650e+00,1.981340e-01,-1.100320e-01,3.327650e+00,1.981340e-01,4.705010e-01,3.300440e+00,3.108540e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,2.00,5.677540e-10,TOG,TOG,-9.993870e-02,3.341780e+00,2.215370e-01,-9.993870e-02,3.341780e+00,2.215370e-01,2.879470e-01,3.301210e+00,3.089160e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,2.50,7.096925e-10,TOG,TOG,-1.076620e-01,3.343130e+00,2.521240e-01,-1.076620e-01,3.343130e+00,2.521240e-01,1.499660e-01,3.304970e+00,3.061300e+00
mos_ss_res_wcs_cap_wcs_-40c_3.3v_24p4MHz,10.00,2.838770e-09,TOG,TOG,-9.629060e-02,3.339910e+00,4.314670e-01,-9.629060e-02,3.339910e+00,4.314670e-01,5.253860e-02,3.299980e+00,2.886180e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,0.50,1.623520e-10,IN,IN,-1.471880e-05,7.803310e-06,-3.579770e-07,-1.419420e-05,8.142460e-06,-1.220120e-09,3.299960e+00,3.300030e+00,3.299990e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,1.00,3.247040e-10,IN,IN,-6.551420e-05,1.146230e-04,-3.566440e-07,-6.497500e-05,1.150220e-04,1.150630e-10,3.299620e+00,3.300310e+00,3.299990e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,1.20,3.896448e-10,IN,IN,-8.909750e-02,2.644620e-02,6.503760e-07,-8.909750e-02,2.644620e-02,6.505830e-07,2.234100e+00,3.300390e+00,3.242930e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,1.40,4.545856e-10,IN,IN,-1.220300e-01,1.308700e-01,2.642870e-04,-1.220300e-01,1.308710e-01,2.642870e-04,1.296070e+00,3.302750e+00,3.187790e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,1.60,5.195264e-10,TOG,TOG,-1.231650e-01,3.334620e+00,1.336060e-01,-1.231650e-01,3.334620e+00,1.336060e-01,8.362640e-01,3.300010e+00,3.157560e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,1.80,5.844672e-10,TOG,TOG,-1.274820e-01,3.334770e+00,1.730050e-01,-1.274820e-01,3.334770e+00,1.730050e-01,5.267080e-01,3.300000e+00,3.134640e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,2.00,6.494080e-10,TOG,TOG,-1.280180e-01,3.334920e+00,1.926450e-01,-1.280180e-01,3.334920e+00,1.926450e-01,3.704630e-01,3.300000e+00,3.119290e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,2.50,8.117600e-10,TOG,TOG,-1.219960e-01,3.351090e+00,2.253910e-01,-1.219960e-01,3.351090e+00,2.253910e-01,2.156950e-01,3.302570e+00,3.090430e+00
mos_ss_res_wcs_cap_wcs_27c_3.3v_24p4MHz,10.00,3.247040e-09,TOG,TOG,-1.273390e-01,3.350860e+00,4.291070e-01,-1.273390e-01,3.350860e+00,4.291070e-01,9.669350e-02,3.299980e+00,2.893830e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,0.50,1.962285e-10,IN,IN,-1.030470e-05,1.443340e-05,-5.302130e-07,-9.367940e-06,1.502300e-05,9.281900e-08,3.299940e+00,3.300010e+00,3.299990e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,1.00,3.924570e-10,IN,IN,-1.736460e-04,1.338430e-04,-5.339070e-07,-1.727340e-04,1.344470e-04,8.908710e-08,3.299550e+00,3.300760e+00,3.299990e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,1.20,4.709484e-10,IN,IN,-8.603690e-02,1.303920e-02,-5.531120e-06,-8.603690e-02,1.303920e-02,-5.530470e-06,2.459040e+00,3.301670e+00,3.263760e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,1.40,5.494398e-10,IN,IN,-1.428530e-01,1.232580e-01,2.898330e-04,-1.428530e-01,1.232590e-01,2.898330e-04,1.340390e+00,3.301950e+00,3.208640e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,1.60,6.279312e-10,TOG,TOG,-1.381960e-01,1.104450e+00,1.300960e-02,-1.381960e-01,1.104450e+00,1.300960e-02,8.964270e-01,3.300870e+00,3.184170e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,1.80,7.064226e-10,TOG,TOG,-1.368670e-01,3.348740e+00,1.392730e-01,-1.368670e-01,3.348740e+00,1.392730e-01,6.267220e-01,3.300430e+00,3.166280e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,2.00,7.849140e-10,TOG,TOG,-1.366220e-01,3.348970e+00,1.589170e-01,-1.366220e-01,3.348970e+00,1.589170e-01,4.791170e-01,3.300320e+00,3.152130e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,2.50,9.811425e-10,TOG,TOG,-1.330420e-01,3.364870e+00,1.905510e-01,-1.330420e-01,3.364870e+00,1.905510e-01,3.431630e-01,3.303680e+00,3.125740e+00
mos_ss_res_wcs_cap_wcs_125c_3.3v_24p4MHz,10.00,3.924570e-09,TOG,TOG,-1.373320e-01,3.370760e+00,4.354900e-01,-1.373320e-01,3.370760e+00,4.354900e-01,1.938050e-01,3.303750e+00,2.895930e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,0.50,1.096650e-10,IN,IN,-2.066230e-05,2.369180e-05,-1.929700e-07,-2.037310e-05,2.388580e-05,5.956250e-09,3.299930e+00,3.300040e+00,3.299990e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,1.00,2.193300e-10,IN,IN,-1.600250e-04,1.729880e-04,-1.876130e-07,-1.596490e-04,1.732030e-04,1.133340e-08,3.299520e+00,3.300750e+00,3.299990e+00
mos_ff_res_bcs_cap_bcs_-40c_3.3v_24p4MHz,1.20,2.631960e-10,IN,IN,-1.124860e-01,1.232470e-01,3.900300e-05,-1.124860e-01,1.232470e-01,3.900300e-05,1.777260e+00,3.300040e+00,3.247350e+00
