corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref,n_cycles,settle_frac
mos_tt_res_bcs_cap_typ_125c_3.3v_24p4MHz,7.197300e-09,lo,1.619393e-08,2.250000e+00,2.519055e-08,3.500000e+00,8.996625e-09,1.250000e+02,steady,3.298250e+00,3.301540e+00,2.127220e-06,3.227520e+00,3.229450e+00,2.149430e-05,8.672580e-05,IIIIIIIOOOOOOOOOOOOOOOO,IIIIIIIIIIOOOOOOOOOOOOO,2.940230e-06,4.098361e-08,71.741620,287,0.9817
mos_tt_res_wcs_cap_typ_-40c_3.3v_24p4MHz,5.290720e-09,lo,6.613400e-09,1.250000e+00,7.936080e-09,1.500000e+00,1.322680e-09,2.500000e+01,steady,3.297940e+00,3.301870e+00,5.187550e-06,3.229020e+00,3.229790e+00,2.006490e-05,9.822690e-05,IIIOOOOOOOOOOOOOOOOOOOO,IIIIOOOOOOOOOOOOOOOOOOO,7.168969e-06,4.098361e-08,174.922839,700,0.9817
mos_ff_res_wcs_cap_typ_-40c_3.3v_24p4MHz,4.524220e-09,lo,5.655275e-09,1.250000e+00,7.917385e-09,1.750000e+00,2.262110e-09,5.000000e+01,steady,3.297710e+00,3.302130e+00,5.194270e-06,3.228680e+00,3.229460e+00,2.245000e-05,9.441360e-05,IIIOOOOOOOOOOOOOOOOOOOO,IIIIIOOOOOOOOOOOOOOOOOO,7.168969e-06,4.098361e-08,174.922839,700,0.9817
mos_ss_res_bcs_cap_typ_125c_3.3v_24p4MHz,8.516710e-09,lo,1.703342e-08,2.000000e+00,2.555013e-08,3.000000e+00,8.516710e-09,1.000000e+02,steady,3.298370e+00,3.301410e+00,2.124690e-06,3.227850e+00,3.229770e+00,2.107210e-05,7.878510e-05,IIIIIIOOOOOOOOOOOOOOOOO,IIIIIIIIIOOOOOOOOOOOOOO,2.940230e-06,4.098361e-08,71.741620,287,0.9817
mos_tt_res_typ_cap_typ_27c_3.63v_24p4MHz,5.512170e-09,lo,9.646297e-09,1.750000e+00,1.378042e-08,2.500000e+00,4.134127e-09,7.500000e+01,steady,3.627790e+00,3.632120e+00,3.567840e-06,3.551690e+00,3.552940e+00,2.260310e-05,1.004890e-04,IIIIIOOOOOOOOOOOOOOOOOO,IIIIIIIIOOOOOOOOOOOOOOO,4.930475e-06,4.098361e-08,120.303578,482,0.9818
mos_tt_res_typ_cap_bcs_27c_3.3v_3p5MHz,5.449970e-09,lo,3.269982e-08,6.000000e+00,5.449970e-08,1.000000e+01,2.179988e-08,4.000000e+02,steady,3.297910e+00,3.300950e+00,3.226510e-06,3.223190e+00,3.232160e+00,2.836550e-06,4.003780e-05,IIIIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.438593e-06,2.857143e-07,15.535076,63,0.9827
mos_tt_res_typ_cap_wcs_27c_3.3v_3p5MHz,6.604260e-09,lo,3.302130e-08,5.000000e+00,6.604260e-08,1.000000e+01,3.302130e-08,5.000000e+02,steady,3.298200e+00,3.300670e+00,3.908410e-06,3.223390e+00,3.230840e+00,2.847690e-06,4.657090e-05,IIIIIIIIIIIIOOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,5.422356e-06,2.857143e-07,18.978246,76,0.9818
mos_tt_res_typ_cap_typ_27c_2.97v_3p5MHz,6.710770e-09,lo,3.355385e-08,5.000000e+00,6.710770e-08,1.000000e+01,3.355385e-08,5.000000e+02,steady,2.968370e+00,2.970880e+00,3.566920e-06,2.902990e+00,2.910100e+00,2.438750e-06,3.832600e-05,IIIIIIIIIIIIOOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.930475e-06,2.857143e-07,17.256661,70,0.9827
mos_tt_res_typ_cap_typ_27c_3.63v_3p5MHz,5.512170e-09,lo,2.756085e-08,5.000000e+00,5.512170e-08,1.000000e+01,2.756085e-08,5.000000e+02,steady,3.627620e+00,3.630560e+00,3.567850e-06,3.547850e+00,3.556570e+00,3.245680e-06,5.073940e-05,IIIIIIIIIIIITOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.930475e-06,2.857143e-07,17.256661,70,0.9827
mos_ff_res_typ_cap_typ_27c_3.3v_3p5MHz,5.183000e-09,lo,3.109800e-08,6.000000e+00,5.183000e-08,1.000000e+01,2.073200e-08,4.000000e+02,steady,3.297710e+00,3.301030e+00,3.572050e-06,3.225060e+00,3.233010e+00,3.067790e-06,4.425890e-05,IIIIIIIIIIIIIOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.930475e-06,2.857143e-07,17.256661,70,0.9827
mos_ss_res_typ_cap_typ_27c_3.3v_3p5MHz,7.212370e-09,lo,3.606185e-08,5.000000e+00,7.212370e-08,1.000000e+01,3.606185e-08,5.000000e+02,steady,3.298230e+00,3.300710e+00,3.563190e-06,3.225750e+00,3.233640e+00,2.734480e-06,4.227620e-05,IIIIIIIIIIIIOOOOOOOOOOO,IIIIIIIIIIIIIIIIOOOOOOO,4.930475e-06,2.857143e-07,17.256661,70,0.9827
