corner_tag,mos_corner,res_corner,cap_corner,temp_c,vsup_v,fref_hz,r_xrpu_ohm,c_xcw_f,rc_s,n_cycles,settle_frac,twin_r_s,tau_xwin,tau_s,vwin_discharged_start_avg_v,vwin_charged_start_avg_v,lock_discharged_start_avg_v,lock_charged_start_avg_v
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.60,8.465152e-09,1.26575e+00,1.27138e+00,3.30000e+00,6.80935e-03
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,1.75,9.258760e-09,1.08582e+00,1.08741e+00,3.30000e+00,3.30000e+00
mos_tt_res_wcs_cap_typ_-40c,mos_tt,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,5.29072e-09,2.00,1.058144e-08,8.79922e-01,8.80010e-01,3.30000e+00,3.30000e+00
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,0.90,4.071798e-09,3.22907e+00,3.30000e+00,8.24110e-07,2.02317e-08
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.00,4.524220e-09,3.15730e+00,3.22782e+00,7.88882e-07,-1.91516e-08
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.05,4.750431e-09,2.68398e+00,2.75103e+00,4.94596e-07,-1.92604e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.10,4.976642e-09,2.59902e+00,2.66488e+00,1.42815e-07,-2.11506e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.15,5.202853e-09,2.52227e+00,2.58710e+00,8.71123e-09,-5.59050e-08
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.20,5.429064e-09,2.45300e+00,2.51688e+00,-3.43641e-08,3.45256e-08
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.25,5.655275e-09,2.24446e+00,2.30649e+00,-4.69245e-08,1.58397e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.30,5.881486e-09,2.04738e+00,2.11161e+00,-6.20049e-08,2.02297e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.40,6.333908e-09,1.83308e+00,1.87203e+00,3.30000e+00,2.45403e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.50,6.786330e-09,1.66477e+00,1.69312e+00,3.30000e+00,2.81008e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.60,7.238752e-09,1.50288e+00,1.51782e+00,3.30000e+00,2.67396e-07
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,1.75,7.917385e-09,1.27266e+00,1.27697e+00,3.30000e+00,1.12259e-02
mos_ff_res_wcs_cap_typ_-40c,mos_ff,res_wcs,cap_typ,-40,3.3,24.4e6,2.355120e+06,3.043993e-12,7.16896879416e-06,700,0.9817,4.52422e-09,2.00,9.048440e-09,1.00965e+00,1.01006e+00,3.30000e+00,3.30000e+00
