corner_tag,twin_r_s,in_window_lock_rail,tau_assert_s,tau_assert_xwin,tau_deassert_s,tau_deassert_xwin,hysteresis_s,hysteresis_pct_of_window,chatter,lock_min_deep_v,lock_max_deep_v,trec_s,vwin_min_zeroerr_v,vwin_max_zeroerr_v,idd_inlock_a,idd_outlock_a,ladder_states_discharged_start,ladder_states_charged_start,rc_s,tref_s,rc_over_tref
mos_tt_res_typ_cap_wcs_27c_3.3v_24p4MHz,2.889630e-10,lo,4.045482e-10,1.400000e+00,4.045482e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.390900e-01,3.351990e+00,1.277970e-09,3.299950e+00,3.300030e+00,2.004410e-05,5.744090e-05,IIIITTTTT,IIIITTTTT,1.085381e-09,4.098361e-08,0.026483
mos_tt_res_typ_cap_wcs_125c_3.3v_24p4MHz,3.521100e-10,lo,4.929540e-10,1.400000e+00,4.929540e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.376370e-01,3.372550e+00,1.013020e-09,3.299940e+00,3.300030e+00,2.021790e-05,5.940420e-05,IIIITTTTT,IIIITTTTT,8.626269e-10,4.098361e-08,0.021048
mos_tt_res_typ_cap_bcs_-40c_3.3v_24p4MHz,2.423190e-10,lo,3.392466e-10,1.400000e+00,3.392466e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.257500e-01,3.345050e+00,1.316730e-09,3.299940e+00,3.300040e+00,1.916510e-05,5.476010e-05,IIIITTTTT,IIIITTTTT,1.262870e-09,4.098361e-08,0.030814
mos_tt_res_typ_cap_bcs_27c_3.3v_24p4MHz,2.789970e-10,lo,3.905958e-10,1.400000e+00,3.905958e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.377680e-01,3.358790e+00,1.129770e-09,3.299940e+00,3.300040e+00,1.996750e-05,5.474780e-05,IIIITTTTT,IIIITTTTT,1.085381e-09,4.098361e-08,0.026483
mos_tt_res_typ_cap_bcs_125c_3.3v_24p4MHz,3.402130e-10,lo,4.762982e-10,1.400000e+00,4.762982e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.611580e-01,3.380580e+00,8.953410e-10,3.299940e+00,3.300040e+00,2.015950e-05,5.708190e-05,IIIITTTTT,IIIITTTTT,8.626269e-10,4.098361e-08,0.021048
mos_tt_res_typ_cap_typ_-40c_3.3v_3p5MHz,2.467270e-10,lo,3.454178e-10,1.400000e+00,3.454178e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.776580e-01,3.410440e+00,1.408130e-09,3.299950e+00,3.300040e+00,2.845130e-06,8.079630e-06,IIIITTTTT,IIIITTTTT,1.262870e-09,2.857143e-07,0.004420
mos_tt_res_typ_cap_typ_27c_3.3v_3p5MHz,2.840560e-10,lo,3.976784e-10,1.400000e+00,3.976784e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-2.252340e-01,3.408420e+00,1.211380e-09,3.299950e+00,3.300040e+00,2.838170e-06,7.569040e-06,IIIITTTTT,IIIITTTTT,1.085381e-09,2.857143e-07,0.003799
mos_tt_res_typ_cap_typ_125c_3.3v_3p5MHz,3.463040e-10,lo,4.848256e-10,1.400000e+00,4.848256e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.374170e-01,3.380320e+00,9.779300e-10,3.299960e+00,3.300040e+00,3.067320e-06,8.448850e-06,IIIITTTTT,IIIITTTTT,8.626269e-10,2.857143e-07,0.003019
mos_tt_res_bcs_cap_typ_-40c_3.3v_3p5MHz,2.467270e-10,lo,3.454178e-10,1.400000e+00,3.454178e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-2.572070e-01,3.407720e+00,1.077320e-09,3.299950e+00,3.300040e+00,2.845160e-06,8.081000e-06,IIIITTTTT,IIIITTTTT,9.522688e-10,2.857143e-07,0.003333
mos_tt_res_bcs_cap_typ_27c_3.3v_3p5MHz,2.840560e-10,lo,3.976784e-10,1.400000e+00,3.976784e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.853730e-01,3.409340e+00,9.298570e-10,3.299950e+00,3.300040e+00,2.838180e-06,8.269520e-06,IIIITTTTT,IIIITTTTT,8.184330e-10,2.857143e-07,0.002865
mos_tt_res_bcs_cap_typ_125c_3.3v_3p5MHz,3.463040e-10,lo,4.848256e-10,1.400000e+00,4.848256e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-2.218800e-01,3.390930e+00,7.183050e-10,3.299960e+00,3.300040e+00,3.067850e-06,9.048610e-06,IIIITTTTT,IIIITTTTT,6.504648e-10,2.857143e-07,0.002277
mos_tt_res_wcs_cap_typ_-40c_3.3v_3p5MHz,2.467270e-10,lo,3.454178e-10,1.400000e+00,3.454178e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-1.722080e-01,3.411260e+00,1.753570e-09,3.299950e+00,3.300040e+00,2.845130e-06,8.336430e-06,IIIITTTTT,IIIITTTTT,1.573472e-09,2.857143e-07,0.005507
mos_tt_res_wcs_cap_typ_27c_3.3v_3p5MHz,2.840560e-10,lo,3.976784e-10,1.400000e+00,3.976784e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-2.269980e-01,3.405490e+00,1.511610e-09,3.299950e+00,3.300040e+00,2.838170e-06,7.736670e-06,IIIITTTTT,IIIITTTTT,1.352330e-09,2.857143e-07,0.004733
mos_tt_res_wcs_cap_typ_125c_3.3v_3p5MHz,3.463040e-10,lo,4.848256e-10,1.400000e+00,4.848256e-10,1.400000e+00,0.000000e+00,0.000000e+00,chatter,-2.839370e-01,3.374950e+00,1.199270e-09,3.299960e+00,3.300040e+00,3.067700e-06,8.352160e-06,IIIITTTTT,IIIITTTTT,1.074789e-09,2.857143e-07,0.003762
